Date,Open,High,Low,Close,Adj Close,Volume
03-01-2012,58.485714,58.92857,58.42857,58.747143,50.765709,75555200
04-01-2012,58.57143,59.240002,58.468571,59.062859,51.038536,65005500
05-01-2012,59.278572,59.792858,58.952858,59.718571,51.605175,67817400
06-01-2012,59.967144,60.392857,59.888573,60.342857,52.14463,79573200
09-01-2012,60.785713,61.107143,60.192856,60.247143,52.061932,98506100
10-01-2012,60.844284,60.857143,60.214287,60.462856,52.248333,64549100
11-01-2012,60.382858,60.407143,59.901428,60.364285,52.163139,53771200
12-01-2012,60.325714,60.414288,59.82143,60.19857,52.019955,53146800
13-01-2012,59.957142,60.064285,59.808571,59.972858,51.824898,56505400
17-01-2012,60.599998,60.855713,60.422855,60.671429,52.428562,60724300
18-01-2012,60.994286,61.352856,60.900002,61.30143,52.972977,69197800
19-01-2012,61.450001,61.624287,60.93,61.107143,52.805092,65434600
20-01-2012,61.07,61.07143,59.964287,60.042858,51.885387,103493600
23-01-2012,60.381428,61.207142,60.328571,61.058571,52.763115,76515600
24-01-2012,60.728573,60.728573,59.935715,60.058571,51.898972,136909500
25-01-2012,64.919998,64.921425,63.389999,63.808571,55.139496,239578500
26-01-2012,64.05143,64.112854,63.305714,63.51857,54.888889,80996300
27-01-2012,63.477142,64.068573,63.395714,63.897144,55.216022,74927300
30-01-2012,63.672855,64.842857,63.627144,64.715714,55.923389,94835300
31-01-2012,65.084282,65.46286,64.724289,65.211426,56.351761,97920900
01-02-2012,65.487144,65.57,65.078575,65.169998,56.315968,67511500
02-02-2012,65.128571,65.309998,64.854286,65.017143,56.183865,46699100
03-02-2012,65.328575,65.714287,65.080002,65.668571,56.746796,71649900
06-02-2012,65.482857,66.425713,65.457146,66.281425,57.276386,62353200
07-02-2012,66.464287,67.10714,66.368568,66.975716,57.876339,79055900
08-02-2012,67.214287,68.112854,67.099998,68.097145,58.845402,101972500
09-02-2012,68.68,70.964287,68.651428,70.452858,60.881111,221053700
10-02-2012,70.137146,71.08857,69.792854,70.488571,60.911942,157825500
13-02-2012,71.361427,71.975716,71.012856,71.800003,62.0452,129304000
14-02-2012,72.094284,72.794289,71.714287,72.779999,62.892056,115099600
15-02-2012,73.465714,75.184288,70.984283,71.095711,61.4366,376530000
16-02-2012,70.214287,72.127144,69.51857,71.744286,61.997032,236138000
17-02-2012,71.872856,72.538574,71.471428,71.73143,61.985954,133951300
21-02-2012,72.41143,73.550003,72.017143,73.550003,63.557446,151398800
22-02-2012,73.297142,73.641426,72.724289,73.291428,63.334015,120825600
23-02-2012,73.582855,73.975716,72.785713,73.769997,63.747555,142006900
24-02-2012,74.238571,74.699997,74.091431,74.629997,64.49073,103768000
27-02-2012,74.472855,75.5,73.754288,75.108574,64.904282,136895500
28-02-2012,75.422859,76.487144,75.121429,76.487144,66.095551,150096800
29-02-2012,77.365715,78.230003,76.528572,77.491432,66.963387,238002800
01-03-2012,78.309998,78.315712,76.96714,77.781425,67.213989,170817500
02-03-2012,77.748573,78.114288,77.502853,77.882858,67.301636,107928100
05-03-2012,77.917145,78.211426,75.14286,76.165718,65.817802,202281100
06-03-2012,74.808571,76.241432,73.745712,75.751427,65.459801,202559700
07-03-2012,76.685715,76.825714,74.757141,75.812859,65.512878,199630200
08-03-2012,76.384285,77.57,76.017143,77.427139,66.907837,129114300
09-03-2012,77.744286,78.248573,77.587143,77.881432,67.300438,104729800
12-03-2012,78.425713,78.85714,78.14286,78.85714,68.143532,101820600
13-03-2012,79.648575,81.168571,79.39286,81.157143,70.13105,172713800
14-03-2012,82.578575,84.959999,82.199997,84.225716,72.782761,354711000
15-03-2012,85.658569,85.715714,82.650002,83.651428,72.286484,289929500
16-03-2012,83.531425,84.171425,82.571426,83.652855,72.287727,206371900
19-03-2012,85.48143,85.96714,84.150002,85.871429,74.204872,225309000
20-03-2012,85.644287,86.699997,84.497147,86.565712,74.804832,204165500
21-03-2012,86.105713,87.092857,85.915718,86.071426,74.377708,161010500
22-03-2012,85.397141,86.35714,85.075714,85.620003,73.98761,155967700
23-03-2012,85.784286,85.971428,84.914284,85.150002,73.581444,107622200
26-03-2012,85.684288,86.735718,85.03714,86.711426,74.930763,148935500
27-03-2012,86.597145,88.040001,86.580002,87.78286,75.856613,151782400
28-03-2012,88.339996,88.778572,87.187141,88.23143,76.244255,163865100
29-03-2012,87.540001,88.080002,86.747147,87.122856,75.286285,152059600
30-03-2012,86.96714,87.222855,85.419998,85.650002,74.013542,182759500
02-04-2012,85.975716,88.395714,85.76857,88.375717,76.368927,149587900
03-04-2012,89.614288,90.315712,88.93,89.902855,77.688583,208639900
04-04-2012,89.192856,89.408569,88.14286,89.187141,77.070114,143245200
05-04-2012,89.568573,90.665718,89.057144,90.525711,78.22683,160324500
09-04-2012,89.447144,91.405716,89.328575,90.889999,78.541626,149384200
10-04-2012,91.418571,92,89.428574,89.777145,77.579979,222431300
11-04-2012,90.885712,90.98143,89.048569,89.457146,77.303429,174153700
12-04-2012,89.285713,90.190002,88.64286,88.96714,76.88002,153584200
13-04-2012,89.158569,89.242859,86.215714,86.461426,74.714745,214911200
16-04-2012,87.151428,87.182854,82.60714,82.875717,71.616173,262696700
17-04-2012,82.705711,87.14286,81.701431,87.099998,75.266533,256382000
18-04-2012,87.674286,88.60714,86.101425,86.905716,75.098648,238632800
19-04-2012,85.745712,86.389999,83.502853,83.919998,72.518593,208679800
20-04-2012,84.482857,84.945717,81.488571,81.854286,70.733521,257746300
23-04-2012,81.515717,82.381432,79.517143,81.671425,70.575485,241632300
24-04-2012,80.372856,81.098572,79.285713,80.040001,69.165718,269037300
25-04-2012,87.94857,88.285713,86.571426,87.14286,75.303566,226444400
26-04-2012,87.752853,87.812859,86.01857,86.814285,75.019646,134017100
27-04-2012,86.438568,86.597145,85.785713,86.14286,74.43943,101680600
30-04-2012,85.400002,85.485718,83.285713,83.425713,72.091446,126536200
01-05-2012,83.557144,85.251427,83.03286,83.16143,71.863052,152749800
02-05-2012,82.891426,83.914284,82.694283,83.711426,72.338333,106847300
03-05-2012,84.35714,84.485718,82.900002,83.117142,71.824791,97637400
04-05-2012,82.440002,82.622856,80.738571,80.75,69.779243,132498100
07-05-2012,80.214287,81.824287,80.175713,81.354286,70.301445,115029600
08-05-2012,81.368568,81.64286,79.818573,81.168571,70.140945,124313000
09-05-2012,80.528572,81.997147,80.121429,81.311432,70.264397,120176000
10-05-2012,82.082855,82.26857,81.205711,81.502853,70.429832,83300000
11-05-2012,80.714287,82.067146,80.621429,80.958572,69.959488,99886500
14-05-2012,80.367142,81.072861,79.657143,79.745712,68.911415,88156600
15-05-2012,80.207146,80.459999,78.821426,79.024284,68.287987,119084000
16-05-2012,79.150002,79.555717,77.291428,78.011429,67.412743,140224000
17-05-2012,77.901428,78.214287,75.73143,75.73143,65.442513,179305000
18-05-2012,76.279999,77.629997,74.597145,75.76857,65.474609,183073100
21-05-2012,76.35714,80.220001,76.292854,80.182854,69.289162,157776500
22-05-2012,81.364288,81.982857,78.940002,79.567146,68.757088,173717600
23-05-2012,79.64286,81.828575,79.03286,81.508568,70.434761,146224400
24-05-2012,82.267143,82.35714,80.175713,80.760002,69.78791,124057500
25-05-2012,80.655716,80.835716,79.781425,80.327141,69.413841,82126800
29-05-2012,81.557144,82,80.758568,81.752853,70.645882,95127200
30-05-2012,81.314285,82.855713,80.937141,82.738571,71.497665,132357400
31-05-2012,82.96286,83.071426,81.637146,82.53286,71.319878,122918600
01-06-2012,81.308571,81.807144,80.074287,80.141426,69.253372,130246900
04-06-2012,80.214287,81.071426,78.35714,80.612854,69.660744,139248900
05-06-2012,80.181427,80.924286,79.761429,80.404289,69.480499,97053600
06-06-2012,81.110001,81.978569,80.785713,81.637146,70.545883,100363900
07-06-2012,82.470001,82.474289,81.5,81.674286,70.577957,94941700
08-06-2012,81.657143,82.940002,81.285713,82.902855,71.639626,86879100
11-06-2012,83.959999,84.071426,81.51857,81.595711,70.510078,147816200
12-06-2012,82.065712,82.374283,80.957146,82.308571,71.126038,108845100
13-06-2012,82.074287,82.639999,81.482857,81.737144,70.632256,73395000
14-06-2012,81.605713,81.928574,81.03714,81.647141,70.554489,86393300
15-06-2012,81.571426,82.08857,81.364288,82.01857,70.875465,83813800
18-06-2012,81.565712,83.984283,81.48143,83.682854,72.313637,110103000
19-06-2012,83.342857,84.285713,83.300003,83.915718,72.514885,90351100
20-06-2012,84.029999,84.178574,82.971428,83.677139,72.308708,89735800
21-06-2012,83.634285,84.031425,82.491432,82.524284,71.312492,81587800
22-06-2012,82.720001,83.169998,82.202858,83.157143,71.85936,71117900
25-06-2012,82.471428,82.828575,81.48143,81.538574,70.460701,76095600
26-06-2012,81.618568,82.07,81.047142,81.718575,70.616219,69134100
27-06-2012,82.14286,82.391426,81.702858,82.071426,70.92115,50749300
28-06-2012,81.667145,82,80.80143,81.292854,70.248352,70709100
29-06-2012,82.571426,83.428574,82.035713,83.428574,72.093903,105375200
